State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
California,1/6/18,"47,290",12/30/17,"347,280","16,550,811",2.1
California,1/13/18,"58,962",1/6/18,"383,701","16,632,810",2.31
California,1/20/18,"51,749",1/13/18,"339,287","16,632,810",2.04
California,1/27/18,"49,062",1/20/18,"398,473","16,632,810",2.4
California,2/3/18,"43,687",1/27/18,"380,202","16,632,810",2.29
California,2/10/18,"41,154",2/3/18,"405,765","16,632,810",2.44
California,2/17/18,"40,230",2/10/18,"371,984","16,632,810",2.24
California,2/24/18,"31,072",2/17/18,"392,058","16,632,810",2.36
California,3/3/18,"42,718",2/24/18,"368,738","16,632,810",2.22
California,3/10/18,"44,552",3/3/18,"398,557","16,632,810",2.4
California,3/17/18,"42,127",3/10/18,"377,516","16,632,810",2.27
California,3/24/18,"39,173",3/17/18,"399,410","16,632,810",2.4
California,3/31/18,"39,130",3/24/18,"362,286","16,632,810",2.18
California,4/7/18,"41,072",3/31/18,"387,730","16,632,810",2.33
California,4/14/18,"45,026",4/7/18,"361,512","16,710,351",2.16
California,4/21/18,"40,673",4/14/18,"386,990","16,710,351",2.32
California,4/28/18,"39,940",4/21/18,"337,467","16,710,351",2.02
California,5/5/18,"39,065",4/28/18,"370,182","16,710,351",2.22
California,5/12/18,"39,382",5/5/18,"323,744","16,710,351",1.94
California,5/19/18,"41,544",5/12/18,"335,046","16,710,351",2.01
California,5/26/18,"37,545",5/19/18,"326,317","16,710,351",1.95
California,6/2/18,"35,607",5/26/18,"310,451","16,710,351",1.86
California,6/9/18,"40,198",6/2/18,"305,840","16,710,351",1.83
California,6/16/18,"41,417",6/9/18,"309,011","16,710,351",1.85
California,6/23/18,"46,837",6/16/18,"301,549","16,710,351",1.8
California,6/30/18,"40,433",6/23/18,"316,331","16,710,351",1.89
California,7/7/18,"35,046",6/30/18,"292,678","16,710,351",1.75
California,7/14/18,"41,391",7/7/18,"321,230","16,799,074",1.91
California,7/21/18,"39,610",7/14/18,"321,417","16,799,074",1.91
California,7/28/18,"36,564",7/21/18,"308,049","16,799,074",1.83
California,8/4/18,"37,852",7/28/18,"324,126","16,799,074",1.93
California,8/11/18,"36,609",8/4/18,"310,455","16,799,074",1.85
California,8/18/18,"37,154",8/11/18,"319,025","16,799,074",1.9
California,8/25/18,"35,722",8/18/18,"303,782","16,799,074",1.81
California,9/1/18,"35,413",8/25/18,"305,384","16,799,074",1.82
California,9/8/18,"31,348",9/1/18,"275,418","16,799,074",1.64
California,9/15/18,"33,418",9/8/18,"287,158","16,799,074",1.71
California,9/22/18,"34,363",9/15/18,"282,235","16,799,074",1.68
California,9/29/18,"33,403",9/22/18,"282,559","16,799,074",1.68
California,10/6/18,"38,015",9/29/18,"274,676","16,799,074",1.64
California,10/13/18,"40,612",10/6/18,"268,204","16,900,653",1.59
California,10/20/18,"39,783",10/13/18,"270,349","16,900,653",1.6
California,10/27/18,"38,096",10/20/18,"281,013","16,900,653",1.66
California,11/3/18,"40,888",10/27/18,"276,927","16,900,653",1.64
California,11/10/18,"45,094",11/3/18,"286,543","16,900,653",1.7
California,11/17/18,"38,233",11/10/18,"271,293","16,900,653",1.61
California,11/24/18,"33,988",11/17/18,"258,905","16,900,653",1.53
California,12/1/18,"55,049",11/24/18,"313,468","16,900,653",1.85
California,12/8/18,"47,395",12/1/18,"325,163","16,900,653",1.92
California,12/15/18,"47,515",12/8/18,"327,460","16,900,653",1.94
